Date,Country,City,Specie,count,min (ppb),max (ppb),median (ppb)
2018-04-02,CN,Beijing,o3,442,1.0,73.0,31.0
2018-06-23,CN,Beijing,o3,451,1.0,89.0,63.0
2018-06-28,CN,Beijing,o3,448,1.0,61.0,32.0
2018-01-06,CN,Beijing,o3,426,1.0,28.0,14.0
2018-02-01,CN,Beijing,o3,375,1.0,37.0,17.0
2018-03-04,CN,Beijing,o3,447,1.0,37.0,15.0
2018-03-26,CN,Beijing,o3,472,1.0,70.0,30.0
2018-05-09,CN,Beijing,o3,402,1.0,72.0,34.0
2018-05-25,CN,Beijing,o3,455,1.0,88.0,47.0
2018-06-12,CN,Beijing,o3,432,1.0,80.0,35.0
2018-01-20,CN,Beijing,o3,376,1.0,33.0,8.0
2018-02-06,CN,Beijing,o3,441,1.0,29.0,9.0
2018-04-03,CN,Beijing,o3,476,6.0,45.0,31.0
2018-04-17,CN,Beijing,o3,421,1.0,71.0,39.0
2018-01-10,CN,Beijing,o3,442,6.0,35.0,24.0
2018-02-25,CN,Beijing,o3,460,1.0,47.0,15.0
2018-03-24,CN,Beijing,o3,368,1.0,62.0,35.0
2018-01-01,CN,Beijing,o3,282,1.0,25.0,6.0
2018-03-10,CN,Beijing,o3,438,1.0,57.0,23.0
2018-06-06,CN,Beijing,o3,450,1.0,88.0,57.0
2018-03-13,CN,Beijing,o3,416,1.0,77.0,19.0
2018-03-31,CN,Beijing,o3,403,1.0,65.0,23.0
2018-05-04,CN,Beijing,o3,447,1.0,75.0,28.0
2018-05-23,CN,Beijing,o3,385,1.0,69.0,36.0
2018-04-21,CN,Beijing,o3,462,1.0,64.0,23.0
2018-05-07,CN,Beijing,o3,454,1.0,73.0,32.0
2018-06-02,CN,Beijing,o3,440,1.0,83.0,63.0
2018-02-16,CN,Beijing,o3,473,1.0,48.0,23.0
2018-03-07,CN,Beijing,o3,466,1.0,36.0,14.0
2018-03-18,CN,Beijing,o3,323,1.0,51.0,19.0
2018-04-15,CN,Beijing,o3,474,1.0,55.0,31.0
2018-06-15,CN,Beijing,o3,424,1.0,79.0,47.0
2018-01-12,CN,Beijing,o3,349,1.0,21.0,2.0
2018-02-14,CN,Beijing,o3,452,1.0,41.0,29.0
2018-03-02,CN,Beijing,o3,479,1.0,49.0,14.0
2018-06-01,CN,Beijing,o3,430,1.0,74.0,57.0
2018-05-24,CN,Beijing,o3,410,1.0,77.0,51.0
2018-02-08,CN,Beijing,o3,453,1.0,34.0,8.0
2018-04-05,CN,Beijing,o3,475,1.0,42.0,15.0
2018-04-24,CN,Beijing,o3,415,1.0,57.0,32.0
2018-04-26,CN,Beijing,o3,451,1.0,71.0,32.0
2018-05-29,CN,Beijing,o3,235,1.0,82.0,19.0
2018-01-11,CN,Beijing,o3,440,1.0,65.0,20.0
2018-04-12,CN,Beijing,o3,438,1.0,55.0,25.0
2018-05-05,CN,Beijing,o3,462,1.0,58.0,29.0
2018-05-26,CN,Beijing,o3,448,1.0,74.0,34.0
2018-01-08,CN,Beijing,o3,446,10.0,33.0,24.0
2018-02-26,CN,Beijing,o3,427,1.0,55.0,9.0
2018-04-13,CN,Beijing,o3,477,1.0,35.0,11.0
2018-01-07,CN,Beijing,o3,352,1.0,30.0,10.0
2018-03-21,CN,Beijing,o3,459,1.0,51.0,14.0
2018-05-27,CN,Beijing,o3,440,1.0,67.0,34.0
2018-06-10,CN,Beijing,o3,434,1.0,72.0,43.0
2018-04-27,CN,Beijing,o3,450,1.0,63.0,39.0
2018-06-26,CN,Beijing,o3,454,1.0,81.0,57.0
2018-01-02,CN,Beijing,o3,375,1.0,30.0,12.0
2018-02-23,CN,Beijing,o3,354,1.0,46.0,18.0
2018-03-08,CN,Beijing,o3,460,1.0,41.0,23.0
2018-04-06,CN,Beijing,o3,450,12.0,47.0,36.0
2018-01-22,CN,Beijing,o3,402,1.0,37.0,19.0
2018-02-28,CN,Beijing,o3,478,1.0,47.0,27.0
2018-04-22,CN,Beijing,o3,410,1.0,42.0,28.0
2018-05-03,CN,Beijing,o3,414,1.0,57.0,32.0
2018-03-19,CN,Beijing,o3,388,1.0,51.0,24.0
2018-04-10,CN,Beijing,o3,424,1.0,46.0,31.0
2018-05-10,CN,Beijing,o3,326,1.0,78.0,57.0
2018-05-18,CN,Beijing,o3,444,1.0,68.0,34.0
2018-01-04,CN,Beijing,o3,419,1.0,22.0,12.0
2018-01-05,CN,Beijing,o3,294,1.0,25.0,4.0
2018-01-25,CN,Beijing,o3,429,1.0,34.0,19.0
2018-02-15,CN,Beijing,o3,446,1.0,49.0,29.0
2018-05-02,CN,Beijing,o3,475,1.0,57.0,32.0
2018-05-14,CN,Beijing,o3,450,1.0,92.0,50.0
2018-06-27,CN,Beijing,o3,451,1.0,63.0,30.0
2018-01-14,CN,Beijing,o3,359,1.0,36.0,4.0
2018-01-21,CN,Beijing,o3,446,1.0,24.0,8.0
2018-01-29,CN,Beijing,o3,341,1.0,37.0,27.0
2018-04-09,CN,Beijing,o3,474,1.0,65.0,25.0
2018-04-25,CN,Beijing,o3,438,1.0,65.0,38.0
2018-06-05,CN,Beijing,o3,429,1.0,84.0,52.0
2018-01-23,CN,Beijing,o3,453,3.0,35.0,24.0
2018-03-27,CN,Beijing,o3,418,1.0,67.0,17.0
2018-03-30,CN,Beijing,o3,463,1.0,107.0,23.0
2018-04-18,CN,Beijing,o3,362,1.0,73.0,32.0
2018-02-13,CN,Beijing,o3,321,1.0,47.0,10.0
2018-03-09,CN,Beijing,o3,456,1.0,54.0,9.0
2018-04-29,CN,Beijing,o3,459,1.0,74.0,44.0
2018-03-16,CN,Beijing,o3,458,3.0,51.0,28.0
2018-06-18,CN,Beijing,o3,421,1.0,79.0,38.0
2018-06-19,CN,Beijing,o3,444,1.0,75.0,52.0
2018-02-11,CN,Beijing,o3,452,1.0,39.0,30.0
2018-02-17,CN,Beijing,o3,446,1.0,34.0,14.0
2018-03-06,CN,Beijing,o3,469,1.0,37.0,18.0
2018-03-11,CN,Beijing,o3,473,1.0,39.0,21.0
2018-02-19,CN,Beijing,o3,441,1.0,51.0,18.0
2018-02-21,CN,Beijing,o3,438,1.0,47.0,23.0
2018-03-28,CN,Beijing,o3,454,1.0,54.0,21.0
2018-01-18,CN,Beijing,o3,339,1.0,24.0,2.0
2018-01-19,CN,Beijing,o3,313,1.0,30.0,4.0
2018-01-27,CN,Beijing,o3,348,1.0,25.0,2.0
2018-02-09,CN,Beijing,o3,412,1.0,39.0,28.0
2018-05-21,CN,Beijing,o3,419,1.0,36.0,12.0
2018-05-31,CN,Beijing,o3,450,1.0,80.0,51.0
2018-01-03,CN,Beijing,o3,450,1.0,29.0,17.0
2018-02-24,CN,Beijing,o3,471,6.0,38.0,23.0
2018-03-12,CN,Beijing,o3,443,1.0,58.0,10.0
2018-04-23,CN,Beijing,o3,448,1.0,54.0,27.0
2018-05-16,CN,Beijing,o3,437,1.0,76.0,29.0
2018-05-20,CN,Beijing,o3,427,1.0,83.0,41.0
2018-05-28,CN,Beijing,o3,445,1.0,50.0,29.0
2018-06-17,CN,Beijing,o3,440,1.0,71.0,49.0
2018-04-11,CN,Beijing,o3,467,1.0,57.0,27.0
2018-04-28,CN,Beijing,o3,438,1.0,82.0,42.0
2018-05-13,CN,Beijing,o3,435,1.0,75.0,38.0
2018-05-15,CN,Beijing,o3,450,1.0,71.0,34.0
2018-06-21,CN,Beijing,o3,445,1.0,85.0,55.0
2018-05-12,CN,Beijing,o3,432,1.0,71.0,28.0
2018-06-24,CN,Beijing,o3,455,1.0,83.0,62.0
2018-02-05,CN,Beijing,o3,420,1.0,37.0,25.0
2018-03-22,CN,Beijing,o3,432,1.0,58.0,17.0
2018-04-08,CN,Beijing,o3,467,1.0,55.0,23.0
2018-05-11,CN,Beijing,o3,445,5.0,64.0,36.0
2018-03-20,CN,Beijing,o3,444,1.0,46.0,21.0
2018-03-25,CN,Beijing,o3,422,1.0,72.0,31.0
2018-04-04,CN,Beijing,o3,458,1.0,36.0,11.0
2018-05-17,CN,Beijing,o3,450,1.0,54.0,22.0
2018-01-26,CN,Beijing,o3,403,1.0,73.0,11.0
2018-02-04,CN,Beijing,o3,386,1.0,32.0,17.0
2018-02-20,CN,Beijing,o3,473,1.0,47.0,28.0
2018-03-01,CN,Beijing,o3,468,5.0,45.0,31.0
2018-06-03,CN,Beijing,o3,445,1.0,73.0,46.0
2018-06-04,CN,Beijing,o3,430,1.0,71.0,48.0
2018-06-16,CN,Beijing,o3,445,2.0,77.0,39.0
2018-01-28,CN,Beijing,o3,408,1.0,38.0,27.0
2018-05-08,CN,Beijing,o3,444,1.0,66.0,37.0
2018-05-22,CN,Beijing,o3,447,1.0,55.0,27.0
2018-01-15,CN,Beijing,o3,414,1.0,30.0,9.0
2018-02-10,CN,Beijing,o3,456,1.0,39.0,28.0
2018-06-14,CN,Beijing,o3,415,1.0,76.0,55.0
2018-06-20,CN,Beijing,o3,448,1.0,69.0,46.0
2018-04-01,CN,Beijing,o3,339,1.0,77.0,58.0
2018-04-16,CN,Beijing,o3,425,1.0,68.0,35.0
2018-05-19,CN,Beijing,o3,400,1.0,73.0,44.0
2018-05-30,CN,Beijing,o3,127,32.0,66.0,59.0
2018-01-09,CN,Beijing,o3,449,1.0,37.0,24.0
2018-01-31,CN,Beijing,o3,417,1.0,37.0,24.0
2018-02-12,CN,Beijing,o3,422,3.0,42.0,29.0
2018-02-22,CN,Beijing,o3,457,1.0,44.0,23.0
2018-06-09,CN,Beijing,o3,126,3.0,47.0,32.0
2018-01-24,CN,Beijing,o3,410,1.0,38.0,17.0
2018-03-14,CN,Beijing,o3,449,1.0,60.0,15.0
2018-04-20,CN,Beijing,o3,448,1.0,83.0,55.0
2018-04-30,CN,Beijing,o3,473,1.0,61.0,34.0
2018-06-11,CN,Beijing,o3,416,1.0,71.0,46.0
2018-06-29,CN,Beijing,o3,425,1.0,75.0,31.0
2018-07-01,CN,Beijing,o3,428,1.0,77.0,41.0
2018-02-03,CN,Beijing,o3,392,1.0,34.0,22.0
2018-03-15,CN,Beijing,o3,463,1.0,49.0,30.0
2018-03-17,CN,Beijing,o3,387,1.0,29.0,5.0
2018-04-19,CN,Beijing,o3,406,1.0,78.0,44.0
2018-06-22,CN,Beijing,o3,437,1.0,72.0,42.0
2018-06-25,CN,Beijing,o3,449,1.0,77.0,56.0
2018-02-02,CN,Beijing,o3,402,4.0,36.0,28.0
2018-02-18,CN,Beijing,o3,462,1.0,57.0,14.0
2018-03-29,CN,Beijing,o3,459,1.0,50.0,19.0
2018-05-01,CN,Beijing,o3,473,1.0,47.0,23.0
2018-03-03,CN,Beijing,o3,414,1.0,52.0,6.0
2018-01-13,CN,Beijing,o3,331,1.0,15.0,2.0
2018-01-16,CN,Beijing,o3,393,1.0,34.0,17.0
2018-01-17,CN,Beijing,o3,343,1.0,39.0,9.0
2018-02-07,CN,Beijing,o3,399,1.0,81.0,30.0
2018-04-07,CN,Beijing,o3,420,1.0,50.0,36.0
2018-04-14,CN,Beijing,o3,448,1.0,49.0,36.0
2018-05-06,CN,Beijing,o3,411,1.0,65.0,42.0
2018-06-07,CN,Beijing,o3,430,3.0,68.0,45.0
2018-01-30,CN,Beijing,o3,432,1.0,38.0,23.0
2018-02-27,CN,Beijing,o3,377,1.0,43.0,21.0
2018-03-05,CN,Beijing,o3,431,1.0,37.0,16.0
2018-03-23,CN,Beijing,o3,409,1.0,48.0,8.0
2018-06-13,CN,Beijing,o3,419,1.0,60.0,34.0
2018-06-08,CN,Beijing,o3,446,1.0,65.0,36.0
2018-06-30,CN,Beijing,o3,430,1.0,87.0,48.0
2018-05-20,CN,Shanghai,o3,238,28.0,47.0,38.0
2018-06-24,CN,Shanghai,o3,234,23.0,57.0,46.0
2018-01-24,CN,Shanghai,o3,214,21.0,37.0,32.0
2018-03-03,CN,Shanghai,o3,206,11.0,45.0,30.0
2018-05-22,CN,Shanghai,o3,236,11.0,48.0,30.0
2018-02-27,CN,Shanghai,o3,216,19.0,61.0,45.0
2018-03-24,CN,Shanghai,o3,214,3.0,66.0,34.0
2018-03-26,CN,Shanghai,o3,216,4.0,64.0,36.0
2018-04-11,CN,Shanghai,o3,192,2.0,65.0,43.0
2018-04-20,CN,Shanghai,o3,212,19.0,63.0,39.0
2018-01-06,CN,Shanghai,o3,213,1.0,32.0,14.0
2018-01-25,CN,Shanghai,o3,215,12.0,31.0,25.0
2018-02-10,CN,Shanghai,o3,203,0.0,38.0,27.0
2018-04-22,CN,Shanghai,o3,198,9.0,67.0,25.0
2018-05-09,CN,Shanghai,o3,192,29.0,61.0,50.0
2018-06-25,CN,Shanghai,o3,238,14.0,80.0,33.0
2018-03-05,CN,Shanghai,o3,216,19.0,48.0,37.0
2018-04-16,CN,Shanghai,o3,200,10.0,47.0,32.0
2018-02-26,CN,Shanghai,o3,206,3.0,56.0,32.0
2018-04-01,CN,Shanghai,o3,198,18.0,69.0,36.0
2018-04-14,CN,Shanghai,o3,216,1.0,39.0,21.0
2018-05-02,CN,Shanghai,o3,206,2.0,66.0,47.0
2018-05-16,CN,Shanghai,o3,235,9.0,83.0,45.0
2018-02-05,CN,Shanghai,o3,211,1.0,38.0,18.0
2018-02-12,CN,Shanghai,o3,189,8.0,42.0,29.0
2018-02-17,CN,Shanghai,o3,215,2.0,56.0,38.0
2018-06-04,CN,Shanghai,o3,240,22.0,71.0,45.0
2018-06-08,CN,Shanghai,o3,238,19.0,58.0,39.0
2018-06-28,CN,Shanghai,o3,235,7.0,61.0,28.0
2018-01-17,CN,Shanghai,o3,177,1.0,50.0,8.0
2018-01-26,CN,Shanghai,o3,194,19.0,34.0,29.0
2018-04-15,CN,Shanghai,o3,216,2.0,66.0,42.0
2018-05-31,CN,Shanghai,o3,238,1.0,64.0,42.0
2018-01-07,CN,Shanghai,o3,197,1.0,25.0,15.0
2018-02-13,CN,Shanghai,o3,112,0.0,57.0,37.0
2018-03-31,CN,Shanghai,o3,216,17.0,62.0,36.0
2018-02-07,CN,Shanghai,o3,207,1.0,43.0,16.0
2018-03-17,CN,Shanghai,o3,199,25.0,49.0,37.0
2018-02-06,CN,Shanghai,o3,211,0.0,35.0,22.0
2018-04-10,CN,Shanghai,o3,187,17.0,71.0,44.0
2018-01-09,CN,Shanghai,o3,197,4.0,38.0,25.0
2018-01-21,CN,Shanghai,o3,216,1.0,45.0,28.0
2018-02-02,CN,Shanghai,o3,204,0.0,50.0,19.0
2018-03-27,CN,Shanghai,o3,209,1.0,66.0,32.0
2018-04-23,CN,Shanghai,o3,216,3.0,44.0,15.0
2018-04-25,CN,Shanghai,o3,214,2.0,65.0,41.0
2018-05-18,CN,Shanghai,o3,239,1.0,77.0,41.0
2018-05-19,CN,Shanghai,o3,228,24.0,51.0,35.0
2018-01-08,CN,Shanghai,o3,216,2.0,39.0,11.0
2018-03-08,CN,Shanghai,o3,214,23.0,51.0,37.0
2018-03-10,CN,Shanghai,o3,216,6.0,71.0,32.0
2018-06-16,CN,Shanghai,o3,238,31.0,55.0,42.0
2018-06-18,CN,Shanghai,o3,239,20.0,63.0,34.0
2018-06-26,CN,Shanghai,o3,235,10.0,77.0,43.0
2018-05-11,CN,Shanghai,o3,213,25.0,65.0,46.0
2018-05-28,CN,Shanghai,o3,235,2.0,86.0,43.0
2018-06-22,CN,Shanghai,o3,239,23.0,56.0,35.0
2018-01-19,CN,Shanghai,o3,212,1.0,33.0,17.0
2018-02-24,CN,Shanghai,o3,216,17.0,50.0,39.0
2018-03-11,CN,Shanghai,o3,216,3.0,62.0,39.0
2018-04-18,CN,Shanghai,o3,176,11.0,73.0,37.0
2018-01-04,CN,Shanghai,o3,215,17.0,32.0,24.0
2018-01-18,CN,Shanghai,o3,214,2.0,39.0,21.0
2018-04-12,CN,Shanghai,o3,214,21.0,51.0,37.0
2018-03-25,CN,Shanghai,o3,207,10.0,67.0,43.0
2018-04-27,CN,Shanghai,o3,211,0.0,81.0,56.0
2018-05-04,CN,Shanghai,o3,210,24.0,83.0,57.0
2018-07-01,CN,Shanghai,o3,240,4.0,45.0,14.0
2018-01-15,CN,Shanghai,o3,201,0.0,45.0,6.0
2018-01-20,CN,Shanghai,o3,215,1.0,36.0,19.0
2018-03-14,CN,Shanghai,o3,215,12.0,51.0,29.0
2018-04-04,CN,Shanghai,o3,215,1.0,58.0,28.0
2018-04-13,CN,Shanghai,o3,215,9.0,66.0,39.0
2018-05-05,CN,Shanghai,o3,216,28.0,60.0,44.0
2018-06-01,CN,Shanghai,o3,231,7.0,66.0,55.0
2018-01-02,CN,Shanghai,o3,214,5.0,37.0,25.0
2018-02-03,CN,Shanghai,o3,215,14.0,36.0,28.0
2018-02-04,CN,Shanghai,o3,216,7.0,38.0,28.0
2018-04-29,CN,Shanghai,o3,216,30.0,83.0,58.0
2018-04-30,CN,Shanghai,o3,213,2.0,80.0,44.0
2018-05-13,CN,Shanghai,o3,216,3.0,77.0,37.0
2018-06-05,CN,Shanghai,o3,238,4.0,78.0,49.0
2018-06-12,CN,Shanghai,o3,234,14.0,92.0,65.0
2018-03-09,CN,Shanghai,o3,214,2.0,46.0,30.0
2018-03-12,CN,Shanghai,o3,211,14.0,59.0,35.0
2018-04-28,CN,Shanghai,o3,214,9.0,80.0,59.0
2018-04-26,CN,Shanghai,o3,214,5.0,59.0,32.0
2018-06-06,CN,Shanghai,o3,234,20.0,81.0,57.0
2018-06-10,CN,Shanghai,o3,237,8.0,64.0,39.0
2018-06-15,CN,Shanghai,o3,239,25.0,65.0,47.0
2018-06-23,CN,Shanghai,o3,233,29.0,61.0,50.0
2018-01-10,CN,Shanghai,o3,215,1.0,32.0,21.0
2018-01-30,CN,Shanghai,o3,149,2.0,52.0,23.0
2018-04-24,CN,Shanghai,o3,213,23.0,57.0,37.0
2018-06-29,CN,Shanghai,o3,238,3.0,66.0,30.0
2018-03-30,CN,Shanghai,o3,215,1.0,33.0,12.0
2018-03-18,CN,Shanghai,o3,211,0.0,44.0,31.0
2018-04-02,CN,Shanghai,o3,216,4.0,45.0,24.0
2018-05-08,CN,Shanghai,o3,195,23.0,61.0,45.0
2018-05-10,CN,Shanghai,o3,157,35.0,64.0,56.0
2018-06-17,CN,Shanghai,o3,240,27.0,57.0,42.0
2018-02-08,CN,Shanghai,o3,206,0.0,41.0,17.0
2018-02-23,CN,Shanghai,o3,214,1.0,60.0,34.0
2018-03-15,CN,Shanghai,o3,208,2.0,32.0,11.0
2018-02-18,CN,Shanghai,o3,216,24.0,46.0,33.0
2018-06-20,CN,Shanghai,o3,237,14.0,51.0,36.0
2018-03-04,CN,Shanghai,o3,214,3.0,60.0,37.0
2018-03-06,CN,Shanghai,o3,213,31.0,54.0,43.0
2018-03-13,CN,Shanghai,o3,214,4.0,60.0,29.0
2018-05-23,CN,Shanghai,o3,239,22.0,65.0,46.0
2018-06-09,CN,Shanghai,o3,239,20.0,57.0,39.0
2018-01-11,CN,Shanghai,o3,213,1.0,35.0,15.0
2018-01-27,CN,Shanghai,o3,198,8.0,31.0,20.0
2018-02-19,CN,Shanghai,o3,215,20.0,51.0,34.0
2018-05-27,CN,Shanghai,o3,239,8.0,55.0,31.0
2018-06-14,CN,Shanghai,o3,239,27.0,68.0,55.0
2018-01-14,CN,Shanghai,o3,214,1.0,36.0,10.0
2018-01-16,CN,Shanghai,o3,202,1.0,25.0,6.0
2018-04-09,CN,Shanghai,o3,215,1.0,67.0,36.0
2018-02-20,CN,Shanghai,o3,212,24.0,49.0,37.0
2018-03-29,CN,Shanghai,o3,214,2.0,61.0,21.0
2018-01-05,CN,Shanghai,o3,214,1.0,31.0,21.0
2018-01-31,CN,Shanghai,o3,205,0.0,39.0,11.0
2018-02-11,CN,Shanghai,o3,216,2.0,47.0,27.0
2018-06-13,CN,Shanghai,o3,234,38.0,81.0,63.0
2018-04-17,CN,Shanghai,o3,191,3.0,56.0,43.0
2018-05-06,CN,Shanghai,o3,216,2.0,61.0,35.0
2018-05-12,CN,Shanghai,o3,216,3.0,78.0,27.0
2018-03-21,CN,Shanghai,o3,215,4.0,32.0,19.0
2018-03-22,CN,Shanghai,o3,190,0.0,56.0,24.0
2018-05-15,CN,Shanghai,o3,222,21.0,84.0,42.0
2018-05-17,CN,Shanghai,o3,238,9.0,76.0,48.0
2018-01-22,CN,Shanghai,o3,215,1.0,39.0,22.0
2018-02-01,CN,Shanghai,o3,194,0.0,45.0,15.0
2018-02-28,CN,Shanghai,o3,215,3.0,51.0,28.0
